start,end,speaker,word,score
43.933,43.953,SPEAKER_01,I,0.7
43.973,44.113,SPEAKER_01,like,0.885
44.153,44.253,SPEAKER_01,to,0.892
44.353,45.094,SPEAKER_01,exercise.,0.846
45.534,45.554,SPEAKER_01,I,0.724
45.714,45.835,SPEAKER_01,have,0.391
45.855,45.875,SPEAKER_01,a,0.675
45.915,46.395,SPEAKER_01,compost,0.683
46.415,46.455,SPEAKER_01,at,0.488
46.495,46.755,SPEAKER_01,"home,",0.867
47.316,47.436,SPEAKER_01,and,0.88
47.936,48.016,SPEAKER_01,I'm,0.164
48.036,48.217,SPEAKER_01,going,0.194
48.237,48.277,SPEAKER_01,to,0.315
48.397,48.597,SPEAKER_01,grow,0.605
48.617,48.637,SPEAKER_01,a,0.113
48.657,48.897,SPEAKER_01,garden,0.748
48.937,49.017,SPEAKER_01,this,0.483
49.057,49.338,SPEAKER_01,summer.,0.925
49.358,49.438,SPEAKER_01,What,0.244
50.539,50.819,SPEAKER_01,else,0.238
51.72,51.9,SPEAKER_01,do,0.842
51.98,52.0,SPEAKER_01,I,0.001
52.02,52.14,SPEAKER_01,like,0.528
52.16,52.22,SPEAKER_01,to,0.53
52.24,52.42,SPEAKER_01,do?,0.938
53.301,53.401,SPEAKER_01,I,0.975
53.441,54.162,SPEAKER_01,exercise,0.877
54.522,54.662,SPEAKER_01,like,0.812
54.722,54.902,SPEAKER_01,twice,0.567
54.982,55.022,SPEAKER_01,a,0.616
55.042,55.323,SPEAKER_01,"week,",0.722
55.403,55.663,SPEAKER_01,usually,0.839
55.683,55.963,SPEAKER_01,after,0.834
56.003,56.043,SPEAKER_01,I,0.527
56.083,56.223,SPEAKER_01,work,0.744
56.284,56.344,SPEAKER_01,at,0.738
56.364,56.904,SPEAKER_01,Wawa.,0.605
57.004,57.044,SPEAKER_01,So,0.0
57.064,57.084,SPEAKER_01,I,0.84
57.104,57.244,SPEAKER_01,smell,0.272
57.264,57.364,SPEAKER_01,like,0.56
57.404,57.745,SPEAKER_01,hoagies,0.596
57.785,57.845,SPEAKER_01,in,0.936
57.885,57.945,SPEAKER_01,the,0.852
57.965,58.245,SPEAKER_01,gym.,0.866
58.525,58.726,SPEAKER_01,Lots,0.938
58.786,58.826,SPEAKER_01,of,0.898
58.866,59.086,SPEAKER_01,fun.,0.97
61.388,61.488,SPEAKER_01,I'm,0.898
61.528,61.648,SPEAKER_01,really,0.346
61.668,61.828,SPEAKER_01,easy,0.511
61.868,61.908,SPEAKER_01,to,0.307
61.928,61.988,SPEAKER_01,get,0.115
62.068,62.289,SPEAKER_01,along,0.91
62.329,62.569,SPEAKER_01,"with,",0.623
62.889,63.109,SPEAKER_01,easy,0.882
63.149,63.209,SPEAKER_01,to,0.667
63.29,63.53,SPEAKER_01,talk,0.967
63.61,63.95,SPEAKER_01,to.,0.913
64.25,64.43,SPEAKER_01,Most,0.8
64.471,64.611,SPEAKER_01,people,0.211
64.631,64.731,SPEAKER_01,would,0.254
64.751,64.891,SPEAKER_01,say,0.492
64.911,65.011,SPEAKER_01,I'm,0.633
65.091,65.511,SPEAKER_01,amiable.,0.919
66.312,68.294,SPEAKER_01,Always,0.897
68.374,68.494,SPEAKER_01,can,0.954
68.534,68.634,SPEAKER_01,have,0.829
68.654,68.674,SPEAKER_01,a,0.068
68.714,68.854,SPEAKER_01,great,0.883
68.894,69.595,SPEAKER_01,"conversation,",0.921
69.635,69.695,SPEAKER_01,fun,0.325
69.735,70.215,SPEAKER_01,to,0.644
70.336,70.476,SPEAKER_01,play,0.812
70.496,70.716,SPEAKER_01,cards,0.735
70.736,70.956,SPEAKER_01,against,0.443
70.976,71.817,SPEAKER_01,humanity,0.641
71.957,72.057,SPEAKER_01,with.,0.2
73.387,73.908,SPEAKER_01,"Honestly,",0.555
73.988,74.128,SPEAKER_01,you'd,0.703
74.148,74.228,SPEAKER_01,be,0.725
74.288,74.489,SPEAKER_01,lucky,0.989
74.529,74.569,SPEAKER_01,to,0.86
74.629,74.789,SPEAKER_01,have,0.869
74.849,74.969,SPEAKER_01,me.,0.942
76.652,77.113,SPEAKER_01,And,0.847
78.515,78.575,SPEAKER_01,I,0.898
78.615,78.735,SPEAKER_01,guess,0.803
78.775,78.856,SPEAKER_01,I,0.638
78.896,78.996,SPEAKER_01,could,0.321
79.016,79.116,SPEAKER_01,tell,0.918
79.156,79.236,SPEAKER_01,you,0.857
79.256,79.356,SPEAKER_01,more,0.764
79.376,79.537,SPEAKER_01,about,0.905
79.577,80.338,SPEAKER_01,myself.,0.82
80.358,80.378,SPEAKER_01,I,0.046
80.398,80.498,SPEAKER_01,have,0.501
80.538,80.558,SPEAKER_01,a,0.426
80.618,80.979,SPEAKER_01,"dog,",0.996
81.219,81.379,SPEAKER_01,two,0.736
81.42,81.84,SPEAKER_01,brothers.,0.845
82.802,83.042,SPEAKER_01,Dog's,0.766
83.122,83.162,SPEAKER_01,a,0.882
83.182,83.483,SPEAKER_01,favorite,0.684
83.503,83.803,SPEAKER_01,brother.,0.959
85.326,85.646,SPEAKER_01,My,0.828
85.706,86.087,SPEAKER_01,boyfriend's,0.494
86.307,86.387,SPEAKER_01,in,0.89
86.407,86.487,SPEAKER_01,the,0.651
86.527,86.708,SPEAKER_01,Air,0.686
86.728,87.048,SPEAKER_01,Force.,0.543
87.068,87.168,SPEAKER_01,He's,0.504
87.209,87.729,SPEAKER_01,deployed.,0.84
88.991,89.152,SPEAKER_01,My,0.853
89.212,89.552,SPEAKER_01,mom,0.904
89.873,90.073,SPEAKER_01,is,0.966
90.213,90.393,SPEAKER_01,kind,0.376
90.414,90.454,SPEAKER_01,of,0.332
90.474,90.934,SPEAKER_01,"crazy,",0.959
91.014,91.255,SPEAKER_01,but,0.955
91.736,91.996,SPEAKER_01,she's,0.846
92.056,92.276,SPEAKER_01,pretty,0.946
92.316,92.597,SPEAKER_01,"fun,",0.812
92.677,92.937,SPEAKER_01,so,0.898
92.957,92.998,SPEAKER_01,if,0.499
94.219,94.38,SPEAKER_01,you,0.434
94.4,94.52,SPEAKER_01,ever,0.544
94.56,94.8,SPEAKER_01,want,0.793
94.86,94.921,SPEAKER_01,to,0.61
94.941,94.981,SPEAKER_01,do,0.5
95.021,95.321,SPEAKER_01,makeup,0.921
95.361,95.501,SPEAKER_01,with,0.839
95.541,95.762,SPEAKER_01,"her,",0.534
95.782,95.902,SPEAKER_01,I'm,0.511
95.922,96.082,SPEAKER_01,sure,0.477
96.102,96.403,SPEAKER_01,she'll,0.717
97.384,97.625,SPEAKER_01,doll,0.574
97.665,97.785,SPEAKER_01,you,0.66
97.825,97.985,SPEAKER_01,right,0.438
98.065,99.748,SPEAKER_01,up.,0.88
101.5,101.74,SPEAKER_01,"Yeah,",0.348
101.76,101.82,SPEAKER_01,I'm,0.226
101.84,102.02,SPEAKER_01,pretty,0.811
102.06,102.421,SPEAKER_01,comfortable,0.826
102.441,102.541,SPEAKER_01,with,0.732
102.601,102.941,SPEAKER_01,"myself,",0.893
102.981,103.121,SPEAKER_01,so,0.782
103.181,103.242,SPEAKER_01,I,0.282
103.262,103.362,SPEAKER_01,don't,0.23
103.462,103.682,SPEAKER_01,really,0.325
103.722,103.922,SPEAKER_01,need,0.353
103.942,104.022,SPEAKER_01,your,0.251
104.603,105.183,SPEAKER_01,feedback,0.861
105.263,105.363,SPEAKER_01,or,0.73
105.403,105.904,SPEAKER_01,opinion.,0.76
108.266,109.387,SPEAKER_01,Yeah.,0.702
117.674,117.994,SPEAKER_01,Sometimes,0.374
118.014,118.075,SPEAKER_01,I,0.651
118.095,118.455,SPEAKER_01,babysit,0.473
118.475,118.615,SPEAKER_01,these,0.608
118.675,118.775,SPEAKER_01,two,0.119
118.795,118.995,SPEAKER_01,little,0.22
119.015,119.216,SPEAKER_01,twin,0.528
119.236,119.596,SPEAKER_01,"boys,",0.884
120.096,120.236,SPEAKER_01,and,0.797
120.276,120.697,SPEAKER_01,they're,0.453
120.817,121.257,SPEAKER_01,awesome.,0.798
121.938,122.198,SPEAKER_01,Everyone,0.463
122.218,122.418,SPEAKER_01,always,0.368
122.458,122.759,SPEAKER_01,"says,",0.832
122.879,122.999,SPEAKER_01,"oh,",0.523
123.039,123.099,SPEAKER_01,I,0.908
123.139,123.259,SPEAKER_01,wish,0.76
123.279,123.459,SPEAKER_01,you'd,0.635
123.499,123.86,SPEAKER_01,babysit,0.533
123.9,123.98,SPEAKER_01,my,0.866
124.04,124.3,SPEAKER_01,"kid,",0.748
124.5,124.56,SPEAKER_01,but,0.288
124.6,124.68,SPEAKER_01,I'm,0.332
124.7,124.861,SPEAKER_01,pretty,0.842
124.901,125.121,SPEAKER_01,picky,0.365
125.141,125.241,SPEAKER_01,about,0.268
125.481,125.541,SPEAKER_01,who,0.026
125.561,125.581,SPEAKER_01,I,0.009
125.601,125.881,SPEAKER_01,babysit.,0.503
129.565,129.905,SPEAKER_01,Let's,0.348
129.925,130.005,SPEAKER_01,see.,0.494
131.42,131.72,SPEAKER_01,When,0.576
131.76,131.78,SPEAKER_01,I,0.489
131.84,131.98,SPEAKER_01,hang,0.738
132.041,132.121,SPEAKER_01,out,0.87
132.161,132.281,SPEAKER_01,with,0.517
132.301,132.341,SPEAKER_01,my,0.358
132.401,132.721,SPEAKER_01,"roommates,",0.591
132.741,132.781,SPEAKER_01,we,0.016
132.801,133.081,SPEAKER_01,usually,0.801
133.121,133.262,SPEAKER_01,get,0.953
133.302,133.682,SPEAKER_01,food,0.75
134.042,134.182,SPEAKER_01,and,0.769
134.283,134.603,SPEAKER_01,watch,0.78
134.703,135.203,SPEAKER_01,TV.,0.807
135.323,135.484,SPEAKER_01,They,0.481
135.524,135.704,SPEAKER_01,love,0.742
135.724,135.784,SPEAKER_01,The,0.878
135.864,136.304,SPEAKER_01,Office.,0.96
137.465,137.525,SPEAKER_01,I'm,0.231
137.545,137.726,SPEAKER_01,more,0.751
137.746,137.786,SPEAKER_01,of,0.0
137.806,137.826,SPEAKER_01,a,0.6
137.866,138.146,SPEAKER_01,Parks,0.624
138.166,138.246,SPEAKER_01,and,0.615
138.266,138.566,SPEAKER_01,Recs,0.788
138.686,138.887,SPEAKER_01,kind,0.464
138.907,138.947,SPEAKER_01,of,0.452
138.967,139.267,SPEAKER_01,girl.,0.796
139.287,143.37,SPEAKER_01,"Yeah,",0.647
143.391,143.471,SPEAKER_01,if,0.449
143.511,143.731,SPEAKER_01,you're,0.173
143.751,143.851,SPEAKER_01,ever,0.254
143.871,143.951,SPEAKER_01,on,0.754
143.991,144.592,SPEAKER_01,Westchester's,0.762
144.632,145.072,SPEAKER_01,"campus,",0.902
145.152,145.372,SPEAKER_01,come,0.74
145.432,145.733,SPEAKER_01,find,0.843
145.753,145.993,SPEAKER_01,me.,0.917
146.213,146.293,SPEAKER_01,I'll,0.263
146.313,146.673,SPEAKER_01,probably,0.493
146.693,146.753,SPEAKER_01,be,0.499
146.773,146.834,SPEAKER_01,in,0.663
146.874,146.934,SPEAKER_01,the,0.943
146.994,147.574,SPEAKER_01,library,0.871
147.955,148.095,SPEAKER_01,or,0.803
148.135,148.635,SPEAKER_01,"asleep,",0.867
149.536,149.756,SPEAKER_01,one,0.692
150.076,150.257,SPEAKER_01,or,0.526
150.317,150.397,SPEAKER_01,the,0.95
150.457,150.657,SPEAKER_01,other.,0.981
150.677,150.737,SPEAKER_01,I'm,0.331
153.9,154.2,SPEAKER_01,in,0.569
154.22,154.881,SPEAKER_01,"ASA,",0.876
155.501,155.601,SPEAKER_01,if,0.792
156.302,156.502,SPEAKER_01,you,0.717
156.682,156.782,SPEAKER_01,are,0.591
156.802,157.083,SPEAKER_01,looking,0.906
157.123,157.243,SPEAKER_01,for,0.964
157.283,157.863,SPEAKER_01,"sororities,",0.814
158.143,158.183,SPEAKER_01,I,0.576
158.204,159.925,SPEAKER_01,guess.,0.79
160.63,161.291,SPEAKER_01,I'm,0.708
161.411,161.611,SPEAKER_01,in,0.648
161.671,161.931,SPEAKER_01,another,0.779
162.011,162.291,SPEAKER_01,club,0.918
162.331,162.512,SPEAKER_01,too.,0.392
162.532,162.632,SPEAKER_01,It's,0.362
162.672,162.852,SPEAKER_01,called,0.729
162.912,163.312,SPEAKER_01,Medlife.,0.832
163.372,163.432,SPEAKER_01,I'm,0.332
163.452,163.512,SPEAKER_01,the,0.914
163.572,164.113,SPEAKER_01,treasurer.,0.83
164.133,164.153,SPEAKER_01,I,0.992
164.673,164.854,SPEAKER_01,don't,0.39
164.874,165.114,SPEAKER_01,really,0.749
165.154,165.294,SPEAKER_01,do,0.642
165.334,165.514,SPEAKER_01,much,0.944
165.634,165.794,SPEAKER_01,though.,0.397
167.616,169.618,SPEAKER_01,Yeah.,0.607
169.638,170.058,SPEAKER_01,Welcome.,0.871
170.558,170.859,SPEAKER_01,Welcome,0.876
170.899,170.939,SPEAKER_01,to,0.19
170.999,171.119,SPEAKER_01,my,0.935
171.179,171.439,SPEAKER_01,life.,0.884
172.58,172.66,SPEAKER_01,I,0.774
172.7,172.92,SPEAKER_01,really,0.842
172.96,173.441,SPEAKER_01,don't,0.87
173.481,173.641,SPEAKER_01,know,0.842
173.681,173.821,SPEAKER_01,how,0.792
173.901,174.061,SPEAKER_01,else,0.843
174.101,174.201,SPEAKER_01,to,0.906
174.242,174.682,SPEAKER_01,continue,0.769
174.702,174.882,SPEAKER_01,this.,0.345
174.902,174.982,SPEAKER_01,This,0.15
175.082,175.162,SPEAKER_01,is,0.836
175.222,175.683,SPEAKER_01,terrible.,0.877
177.384,177.464,SPEAKER_01,I,0.505
177.484,177.624,SPEAKER_01,even,0.351
177.644,177.785,SPEAKER_01,took,0.426
177.865,178.145,SPEAKER_01,public,0.944
178.185,178.645,SPEAKER_01,speaking.,0.8
181.087,181.107,SPEAKER_01,I,0.409
181.127,181.328,SPEAKER_01,got,0.501
181.348,181.648,SPEAKER_01,an,0.571
181.688,181.748,SPEAKER_01,A-,0.704
181.828,181.908,SPEAKER_01,in,0.365
181.928,181.988,SPEAKER_01,the,0.296
182.008,182.288,SPEAKER_01,class,0.828
182.308,182.689,SPEAKER_01,"though,",0.221
182.709,182.889,SPEAKER_01,so.,0.721
185.631,186.031,SPEAKER_01,Sometimes,0.57
186.051,186.292,SPEAKER_01,people,0.361
186.312,186.472,SPEAKER_01,call,0.854
186.492,186.552,SPEAKER_01,me,0.894
186.592,187.273,SPEAKER_01,delightful.,0.575
188.454,188.514,SPEAKER_01,You,0.357
188.534,188.754,SPEAKER_01,wouldn't,0.821
188.794,188.894,SPEAKER_01,see,0.751
188.934,189.034,SPEAKER_01,that,0.283
189.054,189.194,SPEAKER_01,because,0.48
189.214,189.334,SPEAKER_01,you're,0.939
189.374,189.474,SPEAKER_01,just,0.871
189.534,189.574,SPEAKER_01,a,0.937
189.615,190.215,SPEAKER_01,camera.,0.766
192.305,192.605,SPEAKER_01,But,0.311
192.625,192.645,SPEAKER_01,I,0.275
192.665,192.765,SPEAKER_01,would,0.001
192.785,192.866,SPEAKER_01,call,0.005
192.886,193.126,SPEAKER_01,myself,0.575
193.146,193.646,SPEAKER_01,delightful.,0.904
195.088,195.208,SPEAKER_01,So,0.464
195.228,195.328,SPEAKER_01,would,0.201
195.348,195.448,SPEAKER_01,my,0.814
195.488,195.768,SPEAKER_01,dog.,0.888
